transaction_date,transaction_time,store_location,product_category,product_detail,product_type,transaction_id,product_id,store_id,transaction_qty,unit_price,transaction_time,purchase_time,Day_name,Month_name,format_time,day_of_Month,day_classification,time_Buckets,Spend_classifications,Number_of_sales,number_of_products,store_count,revenue_per_day
2023-01-01,2026-03-02T09:10:30.000Z,Lower Manhattan,Bakery,Scottish Cream Scone ,Scone,43,78,5,1,4.5,2026-03-02T09:10:30.000Z,2023-01-01,Sun,Jan,09:03:00,1,Weekdays,01.Rush Hour,03.CHEESEBOY,1,1,1,4.5
2023-01-01,2026-03-02T08:52:03.000Z,Hell's Kitchen,Coffee,Latte,Barista Espresso,31,38,8,1,3.75,2026-03-02T08:52:03.000Z,2023-01-01,Sun,Jan,08:03:00,1,Weekdays,01.Rush Hour,02.MEDIUM.SPENDER,1,1,1,3.75
2023-01-01,2026-03-02T07:22:41.000Z,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,5,57,5,2,3.1,2026-03-02T07:22:41.000Z,2023-01-01,Sun,Jan,07:03:00,1,Weekdays,01.Rush Hour,04.BLESSER,1,1,1,6.2
2023-01-01,2026-03-02T15:55:45.000Z,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg,Drip coffee,366,24,8,1,3,2026-03-02T15:55:45.000Z,2023-01-01,Sun,Jan,15:03:00,1,Weekdays,03.Afternoon,01.LOW.SPENDER,1,1,1,3
2023-01-01,2026-03-02T07:14:04.000Z,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,3,59,5,2,4.5,2026-03-02T07:14:04.000Z,2023-01-01,Sun,Jan,07:03:00,1,Weekdays,01.Rush Hour,04.BLESSER,1,1,1,9
2023-01-01,2026-03-02T13:55:04.000Z,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea,270,42,5,1,2.5,2026-03-02T13:55:04.000Z,2023-01-01,Sun,Jan,13:03:00,1,Weekdays,03.Afternoon,01.LOW.SPENDER,1,1,1,2.5
2023-01-01,2026-03-02T08:35:03.000Z,Lower Manhattan,Tea,Peppermint Lg,Brewed herbal tea,28,45,5,2,3,2026-03-02T08:35:03.000Z,2023-01-01,Sun,Jan,08:03:00,1,Weekdays,01.Rush Hour,03.CHEESEBOY,1,1,1,6
2023-01-01,2026-03-02T13:04:01.000Z,Hell's Kitchen,Coffee,Brazilian Sm,Organic brewed coffee,222,25,8,2,2.2,2026-03-02T13:04:01.000Z,2023-01-01,Sun,Jan,13:03:00,1,Weekdays,03.Afternoon,03.CHEESEBOY,1,1,1,4.4
2023-01-01,2026-03-02T12:50:28.000Z,Astoria,Coffee,Ethiopia Rg,Gourmet brewed coffee,199,32,3,2,3,2026-03-02T12:50:28.000Z,2023-01-01,Sun,Jan,12:03:00,1,Weekdays,03.Afternoon,03.CHEESEBOY,1,1,1,6
2023-01-01,2026-03-02T12:30:49.000Z,Hell's Kitchen,Coffee,Latte,Barista Espresso,181,38,8,1,3.75,2026-03-02T12:30:49.000Z,2023-01-01,Sun,Jan,12:03:00,1,Weekdays,03.Afternoon,02.MEDIUM.SPENDER,1,1,1,3.75
2023-01-01,2026-03-02T15:21:05.000Z,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,340,30,8,2,3,2026-03-02T15:21:05.000Z,2023-01-01,Sun,Jan,15:03:00,1,Weekdays,03.Afternoon,03.CHEESEBOY,1,1,1,6
